X..name,mass,radius,orbital_period,eccentricity,discovered,detection_type,mass_detection_type,radius_detection_type,ra,dec,star_distance,star_metallicity,star_mass,star_radius,star_age,star_teff,detection,mass_group,radius_group,star_mass_group,star_radius_group,discovery_group,metallicity_group,temperature_group
 OGLE-2016-BLG-1469L b,13.6,NA,NA,NA,2017,Microlensing,Microlensing,,271.945750016,-26.2898888998,4500,NA,0.048,NA,NA,NA,Microlensing,high mass planet,NA,low mass star,NA,After 2013,NA,NA
11 Com b,19.4,NA,326.03,0.231,2008,Radial Velocity,,,185.1791667,17.7927778,110.6,-0.35,2.7,19,NA,4742,Radial Velocity,high mass planet,large planet,high mass star,large star,2008-2012,Metal Poor Star,Colder than Sun
11 Oph b,21,NA,730000,NA,2007,Imaging,,,245.6041667,-24.0872222,145,NA,0.0162,NA,0.011,2375,Imaging,high mass planet,NA,low mass star,NA,2003-2007,NA,Colder than Sun
11 UMi b,10.5,NA,516.22,0.08,2009,Radial Velocity,,,229.275,71.8238889,119.5,0.04,1.8,24.08,1.56,4340,Radial Velocity,high mass planet,large planet,high mass star,large star,2008-2012,Metal Rich Star,Colder than Sun
14 And b,5.33,NA,185.84,0,2008,Radial Velocity,,,352.8208333,39.2361111,76.4,-0.24,2.2,11,NA,4813,Radial Velocity,high mass planet,large planet,high mass star,large star,2008-2012,Metal Poor Star,Colder than Sun
14 Her b,4.64,NA,1773.4,0.369,2002,Radial Velocity,,,242.5958333,43.8216667,18.1,0.43,0.9,0.708,5.1,5311,Radial Velocity,high mass planet,NA,low mass star,small star,1998-2002,Metal Rich Star,Colder than Sun
16 Cyg B b,1.68,NA,799.5,0.689,1996,Radial Velocity,,,295.4625,50.5175,21.41,0.08,1.01,0.98,8,5766,Radial Velocity,high mass planet,NA,high mass star,small star,1993-1997,Metal Rich Star,Colder than Sun
18 Del b,10.3,NA,993.3,0.08,2008,Radial Velocity,,,314.6083333,10.8391667,73.1,-0.052,2.3,8.5,NA,4979,Radial Velocity,high mass planet,large planet,high mass star,large star,2008-2012,Metal Poor Star,Colder than Sun
1I/2017 U1,NA,2e-6,NA,1.196,2017,Imaging,,Theoretical,0,0,NA,NA,1,1,NA,NA,Imaging,NA,small planet,low mass star,small star,After 2013,NA,NA
1RXS 1609 b,14,1.7,NA,NA,2008,Imaging,,,242.375,-21.0827778,145,NA,0.73,1.35,0.011,4060,Imaging,high mass planet,large planet,low mass star,large star,2008-2012,NA,Colder than Sun
1SWASP J1407 b,20,NA,3725,NA,2012,Primary Transit,Radial Velocity,,211.950000016,-39.761944469,133,NA,0.9,0.99,0.016,4400,Primary Transit,high mass planet,NA,low mass star,small star,2008-2012,NA,Colder than Sun
24 Sex b,1.99,NA,452.8,0.09,2010,Radial Velocity,,,155.8666667,0.9022222,74.8,-0.03,1.54,4.9,2.7,5098,Radial Velocity,high mass planet,large planet,high mass star,large star,2008-2012,Metal Poor Star,Colder than Sun
24 Sex c,0.86,NA,883,0.29,2010,Radial Velocity,,,155.8666667,0.9022222,74.8,-0.03,1.54,4.9,2.7,5098,Radial Velocity,low mass planet,large planet,high mass star,large star,2008-2012,Metal Poor Star,Colder than Sun
2M 0103-55 (AB) b,13,NA,NA,NA,2013,Imaging,,,15.9,-55.2656,47.2,NA,0.4,NA,0.03,NA,Imaging,high mass planet,NA,low mass star,NA,After 2013,NA,NA
2M 0122-24 b,20,1,NA,NA,2013,Imaging,,,20.7125,-24.6142,36,NA,0.4,NA,0.12,NA,Imaging,high mass planet,small planet,low mass star,NA,After 2013,NA,NA
2M 0219-39 b,13.9,1.44,NA,NA,2015,Imaging,Spectrum,Theoretical,34.841666674,-39.423055569,39.4,NA,0.11,0.27,NA,3064,Imaging,high mass planet,NA,low mass star,small star,After 2013,NA,Colder than Sun
2M 0441+23 b,7.5,NA,NA,NA,2010,Imaging,,,70.4375,23.0308333,140,NA,0.02,NA,0.001,NA,Imaging,high mass planet,NA,low mass star,NA,2008-2012,NA,NA
2M 0746+20 b,30,0.97,4640,0.487,2010,Imaging,,,116.6791667,20.0088889,12.21,NA,0.12,0.089,NA,2205,Imaging,high mass planet,small planet,low mass star,small star,2008-2012,NA,Colder than Sun
2M 1207-39,24,NA,NA,NA,2001,Imaging,Spectrum,,181.8875,-39.5483333,52.4,NA,0.025,NA,0.008,NA,Imaging,high mass planet,NA,low mass star,NA,1998-2002,NA,NA
2M 1207-39 b,4,NA,NA,NA,2004,Imaging,,,181.8875,-39.5483333,52.4,NA,0.025,NA,0.008,NA,Imaging,high mass planet,NA,low mass star,NA,2003-2007,NA,NA
2M 1938+46 b,1.9,NA,416,NA,2015,Pulsar,TTV,,294.637500011,46.066388903000004,NA,NA,0.6,NA,NA,NA,Pulsar,high mass planet,NA,low mass star,NA,After 2013,NA,NA
2M 2140+16 b,20,0.92,7340,0.26,2010,Imaging,,,325.1208333,16.4216667,25,NA,0.08,0.1,NA,2300,Imaging,high mass planet,small planet,low mass star,small star,2008-2012,NA,Colder than Sun
2M 2206-20 b,30,1.3,8686,0,2010,Imaging,,,331.5958333,-20.785,26.67,NA,0.13,0.11,NA,2350,Imaging,high mass planet,NA,low mass star,small star,2008-2012,NA,Colder than Sun
2M 2236+4751 b,12.5,NA,NA,NA,2016,Imaging,Spectrum,,339.104166675,47.861944471,63,NA,0.6,NA,0.12,NA,Imaging,high mass planet,NA,low mass star,NA,After 2013,NA,NA
2M J2126-81 b,13.3,NA,NA,NA,2016,Imaging,Spectrum,,321.366666676,-81.64111113,24.75,NA,0.4,NA,0.027,NA,Imaging,high mass planet,NA,low mass star,NA,After 2013,NA,NA
2M1450-7841 B b,0.04,NA,NA,NA,2017,Imaging,Spectrum,,222.670833347,-78.693888911,75,NA,0.04,NA,0.04,NA,Imaging,low mass planet,NA,low mass star,NA,After 2013,NA,NA
2M1450-7841 b,0.04,NA,NA,NA,2017,Imaging,Spectrum,,222.675000014,-78.694722245,75,NA,40,NA,0.04,NA,Imaging,low mass planet,NA,high mass star,NA,After 2013,NA,NA
2M2250+2325,30,NA,NA,NA,2017,Imaging,Spectrum,,342.562500005,23.426111127,41.5,NA,NA,NA,0.15,NA,Imaging,high mass planet,NA,NA,NA,After 2013,NA,NA
2MASS J11193254 AB,3.7,NA,32850,NA,2017,Imaging,,,169.885595844,-11.6296389116,NA,NA,NA,NA,0.01,NA,Imaging,high mass planet,NA,NA,NA,After 2013,NA,NA
30 Ari B b,9.88,NA,335.1,0.289,2009,Radial Velocity,,,39.2416667,24.6480556,39.4,0.12,1.22,1.23,0.91,6484,Radial Velocity,high mass planet,large planet,high mass star,large star,2008-2012,Metal Rich Star,Hotter than Sun
38 Vir b,4.51,NA,825.9,0.03,2016,Primary Transit,Radial Velocity,,193.296489462,-3.55309929126,NA,0.07,1.18,1.45,1.9,6557,Primary Transit,high mass planet,large planet,high mass star,large star,After 2013,Metal Rich Star,Hotter than Sun
4 Uma b,7.1,NA,269.3,0.432,2007,Radial Velocity,,,130.0541667,64.3280556,78.5,-0.25,1.234,NA,4.604,4415,Radial Velocity,high mass planet,NA,high mass star,NA,2003-2007,Metal Poor Star,Colder than Sun
42 Dra b,3.88,NA,479.1,0.38,2009,Radial Velocity,,,276.4958333,65.5636111,97.3,-0.46,0.98,22.03,9.49,4200,Radial Velocity,high mass planet,large planet,low mass star,large star,2008-2012,Metal Poor Star,Colder than Sun
47 Uma b,2.53,NA,1078,0.032,1996,Radial Velocity,,,164.8708333,40.4294444,13.97,0,1.03,1.24,7.4,5892,Radial Velocity,high mass planet,large planet,high mass star,large star,1993-1997,Metal Poor Star,Hotter than Sun
47 Uma c,0.54,NA,2391,0.098,2001,Radial Velocity,,,164.8708333,40.4294444,13.97,0,1.03,1.24,7.4,5892,Radial Velocity,low mass planet,large planet,high mass star,large star,1998-2002,Metal Poor Star,Hotter than Sun
47 Uma d,1.64,NA,14002,0.16,2010,Radial Velocity,,,164.8708333,40.4294444,13.97,0,1.03,1.24,7.4,5892,Radial Velocity,high mass planet,large planet,high mass star,large star,2008-2012,Metal Poor Star,Hotter than Sun
51 Eri b,9.1,1.11,14965,0.21,2015,Imaging,Spectrum,,69.4005514287,-2.47354859817,29.4,-0.027,1.75,NA,0.02,NA,Imaging,high mass planet,NA,high mass star,NA,After 2013,Metal Poor Star,NA
51 Peg b,0.47,1.9,4.2308,0.0069,1995,Radial Velocity,Radial Velocity,Theoretical,344.3625,20.7686111,14.7,0.2,1.11,1.266,4,5793,Radial Velocity,low mass planet,large planet,high mass star,large star,1993-1997,Metal Rich Star,Hotter than Sun
55 Cnc b,0.84,NA,14.65314,0.0023,1996,Radial Velocity,Radial Velocity,,133.1541667,28.3338889,12.34,0.31,0.905,0.943,10.2,5196,Radial Velocity,low mass planet,NA,low mass star,small star,1993-1997,Metal Rich Star,Colder than Sun
55 Cnc c,0.1784,NA,44.373,0.072,2002,Radial Velocity,Radial Velocity,,133.1541667,28.3338889,12.34,0.31,0.905,0.943,10.2,5196,Radial Velocity,low mass planet,NA,low mass star,small star,1998-2002,Metal Rich Star,Colder than Sun
55 Cnc d,3.86,NA,4867,0.0269,2002,Radial Velocity,Radial Velocity,,133.1541667,28.3338889,12.34,0.31,0.905,0.943,10.2,5196,Radial Velocity,high mass planet,NA,low mass star,small star,1998-2002,Metal Rich Star,Colder than Sun
55 Cnc e,0.02547,0.177536225419,0.7365478,0.028,2004,Primary Transit,Radial Velocity,,133.1541667,28.3338889,12.34,0.31,0.905,0.943,10.2,5196,Primary Transit,low mass planet,small planet,low mass star,small star,2003-2007,Metal Rich Star,Colder than Sun
55 Cnc f,0.1479,NA,260.91,0.08,2007,Radial Velocity,Radial Velocity,,133.1541667,28.3338889,12.34,0.31,0.905,0.943,10.2,5196,Radial Velocity,low mass planet,NA,low mass star,small star,2003-2007,Metal Rich Star,Colder than Sun
6 Lyn b,69,NA,899,0.134,2008,Radial Velocity,,,97.6958333,58.1627778,56.9,-0.13,1.7,5.2,NA,4978,Radial Velocity,high mass planet,large planet,high mass star,large star,2008-2012,Metal Poor Star,Colder than Sun
61 Vir b,0.016,NA,4.215,0.12,2009,Radial Velocity,,,199.6,-18.3111111,8.52,-0.01,0.95,0.94,8.96,5531,Radial Velocity,low mass planet,NA,low mass star,small star,2008-2012,Metal Poor Star,Colder than Sun
61 Vir c,0.0573,NA,38.021,0.14,2009,Radial Velocity,,,199.6,-18.3111111,8.52,-0.01,0.95,0.94,8.96,5531,Radial Velocity,low mass planet,NA,low mass star,small star,2008-2012,Metal Poor Star,Colder than Sun
61 Vir d,0.072,NA,123.01,0.35,2009,Radial Velocity,,,199.6,-18.3111111,8.52,-0.01,0.95,0.94,8.96,5531,Radial Velocity,low mass planet,NA,low mass star,small star,2008-2012,Metal Poor Star,Colder than Sun
7 CMa b,2.46,NA,796,0.22,2011,Radial Velocity,Radial Velocity,,99.1708333,-19.2558333,19.75,0.21,1.52,2.3,NA,4792,Radial Velocity,high mass planet,large planet,high mass star,large star,2008-2012,Metal Rich Star,Colder than Sun
70 Vir b,6.6,NA,116.67,0.43,1996,Radial Velocity,,,202.1083333,13.7866667,22,-0.11,0.92,1.968,7.09,5432,Radial Velocity,high mass planet,large planet,low mass star,large star,1993-1997,Metal Poor Star,Colder than Sun
75 Cet b,3,NA,691.9,NA,2012,Radial Velocity,,,38.0375,-1.035,81.5,0,2.49,10.5,NA,4846,Radial Velocity,high mass planet,large planet,high mass star,large star,2008-2012,Metal Poor Star,Colder than Sun
8 Umi b,1.5,NA,93.4,0.06,2015,Radial Velocity,Radial Velocity,,224.200000016,74.900833352,159.1,-0.03,1.8,9.9,1.7,4847.4,Radial Velocity,high mass planet,large planet,high mass star,large star,After 2013,Metal Poor Star,Colder than Sun
81 Cet b,5.3,NA,952.7,0.206,2008,Radial Velocity,,,39.425,-3.3961111,97.2,-0.06,2.4,11,NA,NA,Radial Velocity,high mass planet,large planet,high mass star,large star,2008-2012,Metal Poor Star,NA
91 Aqr b,3.2,NA,181.4,0.027,2003,Radial Velocity,,,348.9708333,-9.0875,45.9,-0.03,1.4,11,3.56,4665,Radial Velocity,high mass planet,large planet,high mass star,large star,2003-2007,Metal Poor Star,Colder than Sun
AB Pic b,13.5,NA,NA,NA,2005,Imaging,,,94.8,-58.0541667,47.3,-0.64,NA,NA,0.03,4875,Imaging,high mass planet,NA,NA,NA,2003-2007,Metal Poor Star,Colder than Sun
AS 205 A b,19.25,NA,24.84,0.35,2017,Radial Velocity,Radial Velocity,,242.879166677,-18.640277796,140,0,0.9,3.7,NA,4300,Radial Velocity,high mass planet,large planet,low mass star,large star,After 2013,Metal Poor Star,Colder than Sun
Aldebaran b,6.47,NA,628.96,0.1,1998,Radial Velocity,Radial Velocity,,68.9791667,16.5091667,20.43,-0.27,1.13,45.1,6.6,4055,Radial Velocity,high mass planet,large planet,high mass star,large star,1998-2002,Metal Poor Star,Colder than Sun
BD+03 2562 b,6.4,NA,481.9,0.2,2017,Radial Velocity,Radial Velocity,,177.564802922,2.76013113422,2618,-0.71,1.14,32.35,5.25,4095,Radial Velocity,high mass planet,large planet,high mass star,large star,After 2013,Metal Poor Star,Colder than Sun
BD+14 4559 b,1.47,NA,268.94,0.29,2009,Radial Velocity,,,318.4,14.6894444,50,0.1,0.86,NA,NA,5008,Radial Velocity,high mass planet,NA,low mass star,NA,2008-2012,Metal Rich Star,Colder than Sun
BD+15 2375 b,1.06,NA,153.22,0.001,2016,Radial Velocity,Radial Velocity,,176.483333352,14.616388914,774,-0.22,1.08,8.95,7.4,4649,Radial Velocity,high mass planet,large planet,high mass star,large star,After 2013,Metal Poor Star,Colder than Sun
BD+15 2940 b,1.11,NA,137.48,0.26,2013,Radial Velocity,,,240.0958,15.5469,585,0.28,1.1,14.7,7.1,4796,Radial Velocity,high mass planet,large planet,high mass star,large star,After 2013,Metal Rich Star,Colder than Sun
BD+20 1790 b,6.37,NA,7.78287,0.22,2009,Other,,,110.9333333,20.4141667,25.4,0.3,0.63,0.71,0.057,4410,Other,high mass planet,NA,low mass star,small star,2008-2012,Metal Rich Star,Colder than Sun
BD+20 2457 b,21.42,NA,379.63,0.15,2009,Radial Velocity,,,154.1875,19.8913889,200,-1,2.8,NA,NA,4127,Radial Velocity,high mass planet,NA,high mass star,NA,2008-2012,Metal Poor Star,Colder than Sun
BD+20 2457 c,12.47,NA,621.99,0.18,2009,Radial Velocity,,,154.1875,19.8913889,200,-1,2.8,NA,NA,4127,Radial Velocity,high mass planet,NA,high mass star,NA,2008-2012,Metal Poor Star,Colder than Sun
BD+20 274 c,4.2,NA,578.2,NA,2012,Radial Velocity,,,25.9208333,21.005,NA,-0.46,0.8,17.3,NA,4296,Radial Velocity,high mass planet,large planet,low mass star,large star,2008-2012,Metal Poor Star,Colder than Sun
BD+20 594 b,0.0513,0.199,41.6855,0,2016,Primary Transit,Radial Velocity,Primary Transit,53.650000012,20.599166691,152.1,-0.15,0.961,0.928,3.34,5766,Primary Transit,low mass planet,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
BD+24 4697 b,53,NA,145.081,0.50048,2016,Radial Velocity,Radial Velocity,,345.412500013,25.788055575,48.8,-0.11,0.75,NA,NA,5077,Radial Velocity,high mass planet,NA,low mass star,NA,After 2013,Metal Poor Star,Colder than Sun
BD+26 1888 b,26,NA,536.78,0.2675,2016,Radial Velocity,Radial Velocity,,135.629166677,25.889444467,38,0.02,0.76,NA,NA,4748,Radial Velocity,high mass planet,NA,low mass star,NA,After 2013,Metal Rich Star,Colder than Sun
BD+48 738 b,0.91,NA,392.6,0.2,2011,Radial Velocity,,,40.7083333,49.5869444,NA,-0.2,0.74,11,NA,4414,Radial Velocity,low mass planet,large planet,low mass star,large star,2008-2012,Metal Poor Star,Colder than Sun
BD+49 828 b,1.6,NA,2590,0.35,2015,Radial Velocity,Radial Velocity,,45.641666678,49.730000025,NA,-0.19,1.52,7.6,2.3,4943,Radial Velocity,high mass planet,large planet,high mass star,large star,After 2013,Metal Poor Star,Colder than Sun
BD-06 1339 b,0.027,NA,3.8728,0,2013,Radial Velocity,,,88.25,-5.9947,20,-0.14,0.7,NA,4.4,4324,Radial Velocity,low mass planet,NA,low mass star,NA,After 2013,Metal Poor Star,Colder than Sun
BD-06 1339 c,0.17,NA,125.94,0,2013,Radial Velocity,,,88.25,-5.9947,20,-0.14,0.7,NA,4.4,4324,Radial Velocity,low mass planet,NA,low mass star,NA,After 2013,Metal Poor Star,Colder than Sun
BD-06 1339 d,0.091,NA,500,0.04,2014,Radial Velocity,Radial Velocity,,88.25,-5.9947,20,-0.14,0.7,NA,4.4,4324,Radial Velocity,low mass planet,NA,low mass star,NA,After 2013,Metal Poor Star,Colder than Sun
BD-08 2823 b,0.045,NA,5.6,0.15,2009,Radial Velocity,,,150.2,-9.5166667,42.2,-0.07,0.74,NA,4.5,4746,Radial Velocity,low mass planet,NA,low mass star,NA,2008-2012,Metal Poor Star,Colder than Sun
BD-08 2823 c,0.33,NA,237.6,0.19,2009,Radial Velocity,,,150.2,-9.5166667,42.2,-0.07,0.74,NA,4.5,4746,Radial Velocity,low mass planet,NA,low mass star,NA,2008-2012,Metal Poor Star,Colder than Sun
BD-10 3166 b,0.46,1.03,3.4878,0.0104,2000,Radial Velocity,Radial Velocity,Theoretical,164.6166667,-10.7702778,66,0.5,0.99,1.71,4.18,5400,Radial Velocity,low mass planet,large planet,low mass star,large star,1998-2002,Metal Rich Star,Colder than Sun
BD-11 4672 b,0.53,NA,1667,0.05,2010,Radial Velocity,Radial Velocity,,278.370833343,-11.636111126,27.3,-0.48,0.571,0.52,4.4,4475,Radial Velocity,low mass planet,NA,low mass star,small star,2008-2012,Metal Poor Star,Colder than Sun
BD-17 63 b,5.1,NA,655.6,0.54,2008,Radial Velocity,,,7.1416667,-16.2263889,34.6,-0.03,0.74,0.69,4.3,4714,Radial Velocity,high mass planet,NA,low mass star,small star,2008-2012,Metal Poor Star,Colder than Sun
CD-35 2722 b,31,NA,NA,NA,2011,Imaging,,,92.3300429231,-35.8253322455,21.3,0.04,0.4,NA,0.1,3680,Imaging,high mass planet,NA,low mass star,NA,2008-2012,Metal Rich Star,Colder than Sun
CFBDS 1458 ,25.2,NA,NA,NA,2010,Imaging,Theoretical,,224.6208333,10.2286111,31.9,NA,0.024,NA,3,560,Imaging,high mass planet,NA,low mass star,NA,2008-2012,NA,Colder than Sun
CFBDS 1458 b,10.5,NA,14227,NA,2011,Imaging,,,224.6208333,10.2286111,31.9,NA,0.024,NA,3,560,Imaging,high mass planet,NA,low mass star,NA,2008-2012,NA,Colder than Sun
CFBDSIR J2149-0403,21,NA,NA,NA,2017,Imaging,,,327.446666682,-4.0524722252,55.2,NA,NA,NA,NA,NA,Imaging,high mass planet,NA,NA,NA,After 2013,NA,NA
CHXR 73 b,12,NA,NA,NA,2006,Imaging,,,166.6208333,-77.6258333,NA,NA,0.35,NA,0.002,NA,Imaging,high mass planet,NA,low mass star,NA,2003-2007,NA,NA
CI Tau b,12.31,NA,8.9965,NA,2016,Radial Velocity,Radial Velocity,,68.466666684,22.84166669,NA,NA,0.8,NA,0.002,NA,Radial Velocity,high mass planet,NA,low mass star,NA,After 2013,NA,NA
CT Cha b,17,2.2,NA,NA,2008,Imaging,,,166.0375,-76.4552778,165,NA,NA,NA,0.002,NA,Imaging,high mass planet,NA,NA,NA,2008-2012,NA,NA
CVSO 30 b ,6.2,1.91,0.448413,NA,2012,Primary Transit,Radial Velocity,Primary Transit,81.2833333,1.5733333,330,NA,0.39,1.39,0.00265,3740,Primary Transit,high mass planet,large planet,low mass star,large star,2008-2012,NA,Colder than Sun
CoRoT-1 b,1.03,1.49,1.5089557,0,2007,Primary Transit,,,102.0791667,-3.1022222,460,0.06,0.95,1.11,NA,6298,Primary Transit,high mass planet,large planet,low mass star,large star,2003-2007,Metal Rich Star,Hotter than Sun
CoRoT-10 b,2.75,0.97,13.2406,0.53,2010,Primary Transit,,,291.0625,0.7461111,345,0.26,0.89,0.79,3,5075,Primary Transit,high mass planet,small planet,low mass star,small star,2008-2012,Metal Rich Star,Colder than Sun
CoRoT-11 b,2.33,1.43,2.994325,0,2010,Primary Transit,,,280.6875,5.9377778,560,0.04,1.27,1.36,2,6343,Primary Transit,high mass planet,large planet,high mass star,large star,2008-2012,Metal Rich Star,Hotter than Sun
CoRoT-12 b,0.917,1.44,2.828042,0.07,2010,Primary Transit,,,100.7666667,-1.2963889,1150,0.16,1.078,1.116,6.3,5675,Primary Transit,low mass planet,large planet,high mass star,large star,2008-2012,Metal Rich Star,Colder than Sun
CoRoT-13 b,1.308,0.885,4.03519,0,2010,Primary Transit,,,102.7208333,-5.0863889,1310,0.01,1.09,1.01,1.64,5945,Primary Transit,high mass planet,small planet,high mass star,large star,2008-2012,Metal Rich Star,Hotter than Sun
CoRoT-14 b,7.6,1.09,1.51214,0,2010,Primary Transit,,,103.425,-5.5361111,1340,0.05,1.13,1.21,4.2,6035,Primary Transit,high mass planet,large planet,high mass star,large star,2008-2012,Metal Rich Star,Hotter than Sun
CoRoT-15 b,63.4,1.12,3.06036,0,2010,Primary Transit,Radial Velocity,Primary Transit,97.116666676,6.18624167266,NA,NA,NA,NA,NA,NA,Primary Transit,high mass planet,NA,NA,NA,2008-2012,NA,NA
CoRoT-16 b,0.535,1.17,5.35227,0.33,2010,Primary Transit,,,278.525,-6.0025,840,0.19,1.098,1.19,6.73,5650,Primary Transit,low mass planet,large planet,high mass star,large star,2008-2012,Metal Rich Star,Colder than Sun
CoRoT-17 b,2.43,1.02,3.768125,0,2010,Primary Transit,,,278.6958333,-6.6122222,920,0,1.04,1.59,10.7,5740,Primary Transit,high mass planet,large planet,high mass star,large star,2008-2012,Metal Poor Star,Colder than Sun
CoRoT-18 b,3.47,1.31,1.9000693,0.08,2011,Primary Transit,,,98.170833347,0.031388901,870,-0.1,0.95,1,NA,5440,Primary Transit,high mass planet,NA,low mass star,small star,2008-2012,Metal Poor Star,Colder than Sun
CoRoT-19 b,1.11,1.29,3.89713,0.047,2011,Primary Transit,,,97.033333336,0.170555562,800,-0.02,1.21,1.65,5,6090,Primary Transit,high mass planet,large planet,high mass star,large star,2008-2012,Metal Poor Star,Hotter than Sun
CoRoT-2 b,3.31,1.465,1.7429964,0,2007,Primary Transit,,,291.7791667,1.3838889,300,-0.04,0.97,0.902,NA,5575,Primary Transit,high mass planet,NA,low mass star,small star,2003-2007,Metal Poor Star,Colder than Sun
CoRoT-20 b,4.24,0.84,9.24285,0.562,2011,Primary Transit,,,97.730434,0.22692,1230,0.14,1.14,0.92,0.1,5880,Primary Transit,high mass planet,small planet,high mass star,small star,2008-2012,Metal Rich Star,Hotter than Sun
CoRoT-21 b,2.26,1.3,2.72474,0,2011,Primary Transit,,,101.05245,-0.29913,NA,0,1.29,1.945,4.1,6200,Primary Transit,high mass planet,large planet,high mass star,large star,2008-2012,Metal Poor Star,Hotter than Sun
CoRoT-22 b,0.0383853003178,0.435365216104,9.75598,0.077,2011,Primary Transit,,,280.66666668,6.225000011,592,0.17,1.099,1.136,3.3,5939,Primary Transit,low mass planet,small planet,high mass star,large star,2008-2012,Metal Rich Star,Hotter than Sun
CoRoT-23 b,2.8,1.08,3.6314,0.16,2011,Primary Transit,,,279.782615,4.3578,600,0.05,1.14,1.61,7.2,5900,Primary Transit,high mass planet,large planet,high mass star,large star,2008-2012,Metal Rich Star,Hotter than Sun
CoRoT-24 b,0.018,0.33,5.1134,0,2011,Primary Transit,,,101.925000014,-3.719444461,600,0.3,0.91,0.86,11,4950,Primary Transit,low mass planet,small planet,low mass star,small star,2008-2012,Metal Rich Star,Colder than Sun
CoRoT-24 c,0.088,0.44,11.759,0,2011,Primary Transit,,,101.925000014,-3.719444461,600,0.3,0.91,0.86,11,4950,Primary Transit,low mass planet,small planet,low mass star,small star,2008-2012,Metal Rich Star,Colder than Sun
CoRoT-25 b,0.27,1.08,4.86069,NA,2012,Primary Transit,,,280.6292,6.5139,1000,-0.01,1.09,1.19,5.2,6040,Primary Transit,low mass planet,large planet,high mass star,large star,2008-2012,Metal Poor Star,Hotter than Sun
CoRoT-26 b,0.52,1.26,4.20474,0,2012,Primary Transit,,,279.75,6.97,1670,0.01,1.09,1.79,8.6,5590,Primary Transit,low mass planet,large planet,high mass star,large star,2008-2012,Metal Rich Star,Colder than Sun
CoRoT-27 b,10.39,1.007,3.57532,0.065,2012,Primary Transit,,,278.4958,5.5386,NA,0.1,1.05,1.08,4.21,5900,Primary Transit,high mass planet,large planet,high mass star,large star,2008-2012,Metal Rich Star,Hotter than Sun
CoRoT-28 b,0.484,0.955,5.20851,0.047,2012,Primary Transit,Radial Velocity,Primary Transit,278.6875,5.5739,560,0.15,1.01,1.78,12,5150,Primary Transit,low mass planet,small planet,high mass star,large star,2008-2012,Metal Rich Star,Colder than Sun
CoRoT-29 b,0.85,0.9,2.85057,0.082,2012,Primary Transit,Radial Velocity,Primary Transit,278.9042,6.4797,765,0.2,0.976,0.9,4.5,5260,Primary Transit,low mass planet,small planet,low mass star,small star,2008-2012,Metal Rich Star,Colder than Sun
CoRoT-3 b,21.77,1.01,4.2567994,0,2008,Primary Transit,,,292.0541667,0.1219444,680,0.14,1.41,1.44,2,6558,Primary Transit,high mass planet,large planet,high mass star,large star,2008-2012,Metal Rich Star,Hotter than Sun
CoRoT-30 b,2.84,1.02,9.06005,0.007,2017,Primary Transit,Radial Velocity,,277.600000008,6.835833352,960,0.02,0.98,0.91,3,5660,Primary Transit,high mass planet,NA,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
CoRoT-31 b,0.84,1.46,4.62941,0.02,2017,Primary Transit,Radial Velocity,Primary Transit,94.820833339,-4.422222235,2190,0,1.25,2.15,4.7,5370,Primary Transit,low mass planet,large planet,high mass star,large star,After 2013,Metal Poor Star,Colder than Sun
CoRoT-32 b,0.15,0.57,6.71837,NA,2017,Primary Transit,Radial Velocity,Primary Transit,100.195833349,9.257500011,NA,0,1.09,0.79,NA,5970,Primary Transit,low mass planet,small planet,high mass star,small star,After 2013,Metal Poor Star,Hotter than Sun
CoRoT-33 b,59.2,1.1,5.819143,0.07,2015,Primary Transit,Radial Velocity,Primary Transit,279.641666678,5.624722241,NA,0.44,0.86,0.94,4.6,5225,Primary Transit,high mass planet,NA,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
CoRoT-4 b,0.72,1.19,9.20205,0,2008,Primary Transit,,,102.1958333,-0.6727778,NA,0.05,1.1,1.15,1,6190,Primary Transit,low mass planet,large planet,high mass star,large star,2008-2012,Metal Rich Star,Hotter than Sun
CoRoT-5 b,0.467,1.33,4.0378962,0.09,2008,Primary Transit,,,101.2791667,0.8152778,400,-0.25,1,1.186,6.9,6100,Primary Transit,low mass planet,large planet,low mass star,large star,2008-2012,Metal Poor Star,Hotter than Sun
CoRoT-6 b,2.96,1.166,8.886593,0.1,2009,Primary Transit,,,281.075,6.6633333,NA,-0.2,1.055,1.025,NA,6090,Primary Transit,high mass planet,large planet,high mass star,large star,2008-2012,Metal Poor Star,Hotter than Sun
CoRoT-7 b,0.0149,0.136,0.853585,0.12,2009,Primary Transit,,,100.9541667,-1.0627778,150,0.03,0.93,0.87,1.5,5313,Primary Transit,low mass planet,small planet,low mass star,small star,2008-2012,Metal Rich Star,Colder than Sun
CoRoT-7 c,0.042659999999999997,NA,3.698,0.12,2009,Radial Velocity,,,100.9541667,-1.0627778,150,0.03,0.93,0.87,1.5,5313,Radial Velocity,low mass planet,NA,low mass star,small star,2008-2012,Metal Rich Star,Colder than Sun
CoRoT-8 b,0.215838655885,0.569186491545,6.21229,0,2010,Primary Transit,,,291.5875,1.4266667,380,0.3,0.88,0.77,3,5080,Primary Transit,low mass planet,small planet,low mass star,small star,2008-2012,Metal Rich Star,Colder than Sun
